SerialNumber,Model,Capacity,CargoGroup
71734,H-14,2183,Agricultural
50298,I-20,1706,Goods
67916,H-13,9476,Livestock
65787,B-16,1748,Raw Minerals
52886,L-20,6380,Chemicals
50222,O-16,7890,Electronics
72301,P-18,3996,Metals
65906,N-13,1435,Goods
82813,K-17,8101,Building Materials
96273,N-12,7701,Machinery
55776,B-20,4404,Oil
91304,N-17,1135,Machinery
70454,G-18,1113,Goods
54210,C-16,9161,Machinery
88625,J-15,3988,Building Materials
99792,B-19,7377,Chemicals
57799,H-18,3888,Automobiles
85444,M-14,8326,Machinery
94006,H-16,5360,Raw Minerals
91086,E-18,2719,Machinery
80694,I-16,3673,Forestry
71740,N-13,6257,Machinery
98520,G-20,3376,Metals
65792,E-13,6578,Raw Minerals
51294,E-15,7810,Metals
75360,I-18,9477,Chemicals
52914,J-11,3073,Electronics
63425,P-18,2714,Oil
89465,N-10,6583,Forestry
70113,L-13,3201,Livestock
77740,L-19,8308,Raw Minerals
59367,F-19,5496,Electronics
70615,F-17,2399,Food
73922,F-14,2160,Machinery
54317,B-19,4323,Goods
85573,F-11,6207,Electronics
53908,M-14,7596,Raw Minerals
99515,J-18,4298,Machinery
90550,J-11,9823,Goods
77029,B-15,9584,Raw Minerals
69310,I-10,3470,Raw Minerals
64188,H-17,9450,Chemicals
89753,L-12,8345,Food
66540,F-11,3570,Forestry
56804,I-17,3708,Automobiles
99132,H-14,6157,Machinery
63029,K-14,2807,Building Materials
51792,F-19,8381,Automobiles
57880,E-11,5100,Intermodal Containers
85690,I-12,3407,Machinery
91308,L-13,4641,Chemicals
59321,J-10,1411,Raw Minerals
99038,J-14,9575,Electronics
99371,L-19,8993,Raw Minerals
82170,P-18,7015,Raw Minerals
54903,E-20,4433,Electronics
76411,I-10,4201,Building Materials
74231,D-14,9571,Electronics
84743,K-20,2048,Intermodal Containers
64035,H-17,5175,Automobiles
97090,K-19,9375,Building Materials
81160,G-15,2711,Intermodal Containers
99390,F-16,6536,Intermodal Containers
89487,O-12,1889,Agricultural
63249,G-18,3688,Oil
96581,E-12,5247,Oil
89986,D-10,9737,Livestock
87133,E-10,6553,Food
81132,I-14,2418,Machinery
65691,M-17,8121,Agricultural
84050,C-18,7861,Food
99823,K-11,4821,Building Materials
99234,I-16,1101,Raw Minerals
65336,P-10,6843,Goods
60178,C-12,4018,Building Materials
86445,J-16,5154,Automobiles
73797,O-19,6886,Oil
96636,N-17,8833,Intermodal Containers
94669,E-10,1472,Metals
61833,P-15,8370,Forestry
73061,N-19,1398,Metals
72197,F-15,6230,Building Materials
84196,D-18,3008,Goods
96247,J-11,4104,Automobiles
77039,N-10,9298,Goods
75682,G-14,5590,Livestock
63594,B-11,6585,Goods
72382,C-14,7063,Metals
71998,B-13,7170,Automobiles
65114,K-11,9393,Oil
84005,P-12,8400,Goods
54387,B-12,3503,Livestock
89928,L-17,3340,Automobiles
50810,I-14,4991,Chemicals
83287,C-17,3244,Electronics
84939,N-16,4446,Agricultural
97282,G-12,1597,Food
89207,H-13,2975,Automobiles
78235,H-13,1860,Agricultural
86749,M-17,8165,Intermodal Containers
99192,D-19,3930,Chemicals
96302,O-12,6631,Raw Minerals
81365,C-11,8107,Building Materials
63784,O-14,7618,Building Materials
57568,P-16,3566,Forestry
65694,F-18,6310,Metals
85020,D-17,1236,Livestock
76989,D-12,5240,Building Materials
91023,J-20,7690,Chemicals
88279,B-18,5230,Food
77413,L-16,3894,Food
72344,E-11,7899,Automobiles
65967,C-20,7128,Oil
84667,B-12,3423,Chemicals
90340,N-16,1215,Food
72309,M-14,6722,Raw Minerals
62681,L-17,5280,Agricultural
86195,P-13,7218,Intermodal Containers
89191,N-14,9712,Forestry
70142,L-14,8254,Intermodal Containers
70184,O-13,2716,Intermodal Containers
62135,G-12,1319,Building Materials
