ID,Company,TotalTransportCount,SignDate,ExpirationDate
1,Gordon-Smith,22,03/10/2020,02/09/2024
2,Pham PLC,20,04/21/2020,12/20/2023
3,Torres Group,23,11/17/2019,01/28/2024
4,Salazar-Smith,17,12/15/2019,10/28/2023
5,Wilson and Sons,22,01/31/2020,11/04/2023
6,Green Ltd,22,12/30/2019,12/03/2023
7,Mann-Bullock,11,11/20/2019,11/27/2023
8,Shaw-Reed,17,01/16/2020,02/09/2024
9,Washington-Compton,24,01/19/2020,12/16/2023
10,Williams-Morgan,17,01/04/2020,11/30/2023
11,Hill-Holt,17,05/12/2020,11/15/2023
12,Vazquez Group,18,01/17/2020,09/19/2023
13,Vasquez-Moreno,15,07/20/2020,03/24/2023
14,Williams-King,25,12/28/2019,12/18/2023
15,Moore-Sexton,18,03/18/2020,12/03/2023
16,Short Group,24,05/15/2020,01/02/2024
17,Nelson Ltd,13,02/15/2020,11/22/2023
18,Yu-Andrews,26,02/26/2020,01/14/2024
19,Villarreal and Sons,29,11/28/2019,01/17/2024
20,Palmer-Patterson,15,03/21/2020,01/10/2024
21,Carter Ltd,16,01/12/2020,12/28/2023
22,Palmer-Nicholson,19,01/11/2020,12/16/2023
23,Conner Group,25,12/12/2019,12/22/2023
24,Figueroa-Diaz,21,02/29/2020,11/23/2023
25,Robinson-Sherman,19,11/25/2019,07/16/2023
26,Clark-Klein,13,07/05/2020,02/28/2024
27,Waters LLC,20,12/22/2019,09/05/2023
28,Conner-Downs,18,12/11/2019,02/08/2024
29,Hoover-Beltran,21,12/31/2019,12/26/2023
30,Bush-Walker,21,12/06/2019,11/11/2023
31,Smith-Williams,20,01/06/2020,01/16/2024
32,Brown-George,22,11/23/2019,12/26/2023
33,Howard-Wilson,14,11/19/2019,11/21/2023
34,Lee-Johnson,17,12/26/2019,05/30/2023
35,Fuentes PLC,15,12/18/2019,12/17/2023
36,Wilson-Barton,24,03/12/2020,10/26/2023
37,Mullen-Scott,26,12/23/2019,12/15/2023
38,Boyd Inc,24,12/21/2019,09/21/2023
39,Rose PLC,29,12/19/2019,01/25/2024
40,Sims Inc,17,11/19/2019,01/29/2024
41,Mcclure-Mccoy,19,11/30/2019,01/22/2024
42,Osborn-Sanders,25,01/01/2020,09/06/2023
43,Richardson Ltd,19,01/13/2020,11/28/2023
44,Jones Group,17,02/04/2020,08/31/2023
45,Case-Riddle,35,01/30/2020,02/16/2024
46,Scott Inc,26,01/07/2020,02/28/2024
47,Newman PLC,18,02/17/2020,02/26/2024
48,Mitchell Group,23,12/28/2019,11/16/2023
49,Colon-Jackson,16,07/16/2020,02/11/2024
50,Kline-Buchanan,23,12/31/2019,01/10/2024
51,Tran and Sons,16,04/06/2020,11/08/2023
52,Watson and Sons,28,01/29/2020,01/27/2024
53,Cook-Schmitt,15,04/11/2020,02/15/2024
54,Stephens Ltd,18,03/14/2020,12/23/2023
55,Harris and Sons,16,02/07/2020,02/15/2024
